Tournament,Date,Prize,P#,Location,Winner,Runner-up
GT-X GameTyrant Expo 2018,"Nov 2 - 4, 2018","$9,090",159,United States North Salt Lake,United States JigglypuffHungrybox,United States FalcoFoxMango
The Big House The Big House 8,"Oct 5 - 7, 2018","$10,320","1,032",United States Detroit,United States JigglypuffHungrybox,United States SheikFoxSamusPlup
Shine Shine 2018,"Aug 24 - 26, 2018","$9,040",904,United States Boston,United States MarthZain,United States JigglypuffHungrybox
Super Smash Con Super Smash Con 2018,"Aug 9 - 12, 2018","$10,530","1,053",United States Chantilly,Sweden PeachFoxArmada,United States MarthSheikFoxMew2King
Evolution Championship Series EVO 2018,"Aug 3 - 5, 2018","$13,530","1,353",United States Las Vegas,Sweden FoxLeffen,Sweden PeachFoxArmada
Low Tier City Low Tier City 6,"Jul 27 - 29, 2018","$5,190",346,United States Irving,United States JigglypuffNessHungrybox,Sweden FoxLeffen
CEO CEO 2018,"Jun 29 - Jul 1, 2018","$4,400",440,United States Daytona Beach,United States JigglypuffHungrybox,United States SheikFoxPlup
Smash 'N' Splash Smash 'N' Splash 4,"Jun 1 - 3, 2018","$14,240",924,United States Wisconsin Dells,Sweden PeachFoxArmada,United States JigglypuffHungrybox
Get On My Level Get On My Level 2018,"May 18 - 20, 2018","$3,499",449,Canada Mississauga,United States JigglypuffHungrybox,United States SheikFoxPlup
Smash Summit Smash Summit 6,"May 3 - 6, 2018","$22,010",16,United States Los Angeles,United States MarthSheikMew2King,Sweden PeachFoxArmada
Full Bloom Full Bloom 4,"Mar 24 - 25, 2018","$4,340",354,United States Bloomington,United States JigglypuffHungrybox,United States FalcoFoxMango
Enthusiast Gaming Live Expo Enthusiast Gaming Live Expo 2018,"Mar 9 - 11, 2018","$5,273",180,Canada Mississauga,United States JigglypuffHungrybox,United States SheikFoxPlup
GENESIS GENESIS 5,"Jan 19 - 21, 2018","$13,650","1,365",United States Oakland,United States SheikFoxPlup,United States JigglypuffHungrybox
Smash Summit Smash Summit 5,"Nov 2 - 5, 2017","$83,758",16,United States Los Angeles,United States JigglypuffHungrybox,Sweden PeachFoxArmada
Canada Cup Canada Cup 2017,"Oct 27 - 29, 2017","$5,213",170,Canada Toronto,United States MarthSheikMew2King,Sweden FoxLeffen
DreamHack DreamHack Denver 2017,"Oct 20 - 22, 2017","$10,000",307,United States Denver,United States JigglypuffHungrybox,United States FoxFalcoMarioMango
The Big House The Big House 7,"Oct 6 - 8, 2017","$15,220","1,522",United States Detroit,United States JigglypuffHungrybox,United States SheikFoxPlup
GT-X GameTyrant Expo 2017,"Sep 29 - Oct 1, 2017","$30,000",354,United States Salt Lake City,United States JigglypuffHungrybox,Sweden PeachFoxArmada
Shine Shine 2017,"Aug 25 - 27, 2017","$11,560","1,156",United States Boston,United States JigglypuffHungrybox,United States FalcoFoxMango
Super Smash Con Super Smash Con 2017,"Aug 10 - 13, 2017","$10,920","1,092",United States Chantilly,United States FalcoMarioMango,United States MarthSheikFoxMew2King
Get On My Level Get On My Level 2017,"Jul 28 - 30, 2017","$4,513",566,Canada Mississauga,Sweden FoxLeffen,United States JigglypuffHungrybox
DreamHack DreamHack Atlanta 2017,"Jul 21 - 23, 2017","$10,000",402,United States Atlanta,United States SheikFoxPlup,United States JigglypuffHungrybox
Genesis FUSE Doubles Circuit Finals,"Jul 16, 2017",,,United States Las Vegas,,
Evolution Championship Series EVO 2017,"Jul 14 - 16, 2017","$14,280","1,428",United States Las Vegas,Sweden PeachArmada,United States FoxFalcoMango
Smash 'N' Splash Smash 'N' Splash 3,"Jun 2 - 4, 2017","$13,480",848,United States Wisconsin Dells,United States JigglypuffHungrybox,Sweden FoxLeffen
Royal Flush,"May 12 - 14, 2017","$8,310",331,United States Atlantic City,United States FoxFalcoMarthMango,Sweden PeachFoxArmada
DreamHack DreamHack Austin 2017,"Apr 28 - 30, 2017","$10,000",430,United States Austin,United States JigglypuffHungrybox,United States Ice ClimbersJigglypuffChuDat
CEO CEO Dreamland,"Apr 14 - 16, 2017","$3,330",333,United States Orlando,United States MarthFoxSheikMew2King,United States FoxSFAT
Smash Rivalries,"Apr 8 - 9, 2017","$4,050",16,United States Burbank,United States JigglypuffHungrybox,United States Captain FalconWizzrobe
Full Bloom Full Bloom 3,"Mar 25, 2017","$3,160",316,United States Bloomington,United States JigglypuffHungrybox,United States SamusDuck
Smash Summit Smash Summit - Spring 2017,"Mar 2 - 5, 2017","$51,444",16,United States Los Angeles,Sweden FoxPeachArmada,United States JigglypuffHungrybox
GENESIS GENESIS 4,"Jan 20 - 22, 2017","$17,040","1,704",United States San Jose,Sweden PeachArmada,United States FoxFalcoMango
Don't Park on the Grass Don't Park on the Grass,"Dec 17 - 18, 2016","$7,400",640,United States Seattle,Sweden FoxLeffen,United States JigglypuffHungrybox
UGC UGC Smash Open,"Dec 2 - 4, 2016","$17,480",248,United States St. Louis,Sweden PeachFoxArmada,United States MarthSheikFoxMew2King
DreamHack DreamHack Winter 2016,"Nov 24 - 27, 2016","$30,000",242,Sweden Jönköping,Sweden FoxPeachArmada,United States JigglypuffHungrybox
Smash Summit Smash Summit 3,"Nov 3 - 6, 2016","$21,609",16,United States Los Angeles,Sweden PeachFoxArmada,United States JigglypuffHungrybox
Canada Cup Canada Cup 2016,"Oct 28 - 30, 2016","$3,221",232,Canada Toronto,Sweden PeachFoxArmada,United States JigglypuffHungrybox
The Big House The Big House 6,"Oct 7 - 9, 2016","$15,630","1,564",United States Dearborn,United States FoxFalcoMango,Sweden PeachFoxArmada
Shine Shine 2016,"Aug 26 - 28, 2016","$9,890",989,United States Boston,United States MarthSheikPeachMew2King,United States FoxSFAT
Super Smash Con Super Smash Con 2016,"Aug 11 - 14, 2016","$9,400",940,United States Chantilly,United States FoxFalcoMango,United States JigglypuffHungrybox
Evolution Championship Series EVO 2016,"Jul 15 - 17, 2016","$23,720","2,372",United States Las Vegas,United States JigglypuffHungrybox,Sweden FoxPeachArmada
WTFox WTFox 2,"Jul 1 - 3, 2016","$7,420",292,United States Memphis,United States MarthFoxMango,Sweden PeachFoxArmada
CEO CEO 2016,"Jun 24 - 26, 2016","$6,780",678,United States Orlando,United States JigglypuffHungrybox,United States SheikFoxMarthMew2King
Smash 'N' Splash Smash 'N' Splash 2,"Jun 11 - 12, 2016","$4,590",459,United States Gurnee,United States JigglypuffHungrybox,United States SheikLuigiSwedish Delight
